id_reservasi,id_slot_parkir,id_pengguna,tanggal_reservasi_target,jam_masuk_target,jam_keluar_target,durasi_reservasi_menit,tipe_kendaraan,lantai_parkir_target,hari_reservasi_target,waktu_pembuatan_reservasi,status_akhir_reservasi,total_biaya_rupiah,prediksi_cuaca_pemesanan,info_acara_khusus_pemesanan,estimasi_okupansi_saat_pesan
RES0025,D10,USER020,04-05-2023,11:00,17:00,360,Mobil,P3,Kamis,28-04-2023 12:30,Selesai,30000,Cerah,Tidak_Ada,0.55
RES0026,B11,USER016,05-05-2023,20:00,23:30,210,Mobil,P2,Jumat,05-05-2023 18:00,Dibatalkan_Pengguna,17500,Berawan,Konser,0.9
RES0027,A03,USER021,06-05-2023,12:00,14:00,120,Motor,P1,Sabtu,06-05-2023 10:30,Selesai,6000,Cerah,Pameran,0.72
RES0028,C01,USER022,07-05-2023,08:00,18:00,600,Mobil,B1,Minggu,30-04-2023 10:00,Selesai,50000,Cerah,Olahraga,0.65
RES0029,P2C5,USER023,08-05-2023,09:30,11:30,120,Mobil,P2,Senin,07-05-2023 15:00,Selesai,10000,Cerah,Tidak_Ada,0.4
RES0030,P1D2,USER024,08-05-2023,11:00,12:30,90,Motor,P1,Senin,08-05-2023 10:00,Selesai,4500,Cerah,Tidak_Ada,0.46
RES0031,B1E3,USER025,09-05-2023,14:30,17:30,180,Mobil,B1,Selasa,03-05-2023 11:30,Dikonfirmasi_Belum_Digunakan,15000,Berawan,Tidak_Ada,0.58
RES0032,P3A1,USER026,10-05-2023,08:30,16:30,480,Mobil,P3,Rabu,09-05-2023 19:00,Selesai,40000,Hujan Ringan,Tidak_Ada,0.38
RES0033,P1B8,USER027,10-05-2023,18:30,20:30,120,Motor,P1,Rabu,10-05-2023 18:00,Tidak_Hadir,6000,Hujan Ringan,Tidak_Ada,0.6
RES0034,P2C7,USER028,11-05-2023,10:30,11:30,60,Mobil,P2,Kamis,11-05-2023 09:30,Selesai,5000,Cerah,Tidak_Ada,0.47
RES0035,B1A2,USER029,12-05-2023,13:30,16:00,150,Motor,B1,Jumat,08-05-2023 17:00,Dibatalkan_Pengguna,7500,Berawan,Tidak_Ada,0.53
RES0036,P3D9,USER030,13-05-2023,09:00,17:00,480,Mobil,P3,Sabtu,12-05-2023 21:00,Selesai,40000,Cerah,Pameran,0.78
RES0037,P1C4,USER016,14-05-2023,16:30,19:30,180,Mobil,P1,Minggu,14-05-2023 13:00,Selesai,15000,Hujan Lebat,Olahraga,0.85
RES0038,P2B1,USER017,15-05-2023,11:30,15:30,240,Motor,P2,Senin,09-05-2023 11:00,Selesai,12000,Cerah,Tidak_Ada,0.42
RES0039,B1B6,USER018,15-05-2023,13:30,14:30,60,Mobil,B1,Senin,15-05-2023 12:00,Dikonfirmasi_Belum_Digunakan,5000,Berawan,Tidak_Ada,0.49
RES0040,P3A8,USER019,16-05-2023,07:30,09:30,120,Mobil,P3,Selasa,09-05-2023 16:00,Selesai,10000,Cerah,Tidak_Ada,0.36
RES0041,A04,USER031,01-06-2023,09:00,12:00,180,Mobil,P1,Kamis,31-05-2023 10:00,Selesai,15000,Cerah,Tidak_Ada,0.5
RES0042,B15,USER032,01-06-2023,10:00,11:00,60,Motor,P2,Kamis,01-06-2023 09:30,Selesai,3000,Cerah,Tidak_Ada,0.55
RES0043,C08,USER033,02-06-2023,13:00,17:00,240,Mobil,B1,Jumat,01-06-2023 15:00,Dikonfirmasi_Belum_Digunakan,20000,Berawan,Tidak_Ada,0.65
RES0044,A12,USER034,03-06-2023,16:00,16:30,30,Motor,P1,Sabtu,03-06-2023 15:45,Selesai,1000,Hujan Ringan,Konser,0.8
RES0045,D22,USER035,04-06-2023,10:00,15:00,300,Mobil,P3,Minggu,28-05-2023 11:00,Selesai,25000,Cerah,Pameran,0.75
RES0046,B05,USER031,04-06-2023,18:00,22:00,240,Mobil,P2,Minggu,04-06-2023 14:00,Dibatalkan_Pengguna,20000,Berawan,Pameran,0.82
RES0047,A07,USER036,05-06-2023,11:00,13:30,150,Motor,P1,Senin,05-06-2023 09:00,Selesai,7500,Cerah,Tidak_Ada,0.42
RES0048,C14,USER037,06-06-2023,07:00,17:00,600,Mobil,B1,Selasa,30-05-2023 08:00,Selesai,50000,Cerah,Tidak_Ada,0.32
RES0049,P2A6,USER038,07-06-2023,09:00,11:30,150,Mobil,P2,Rabu,06-06-2023 13:00,Selesai,12500,Berawan,Tidak_Ada,0.48
RES0050,P1B4,USER039,07-06-2023,10:00,12:00,120,Motor,P1,Rabu,07-06-2023 08:00,Selesai,6000,Berawan,Tidak_Ada,0.53
RES0051,B1C5,USER040,08-06-2023,14:00,18:00,240,Mobil,B1,Kamis,02-06-2023 09:00,Dikonfirmasi_Belum_Digunakan,20000,Hujan Ringan,Tidak_Ada,0.6
RES0052,P3D2,USER041,09-06-2023,08:00,15:00,420,Mobil,P3,Jumat,08-06-2023 17:00,Selesai,35000,Cerah,Tidak_Ada,0.58
RES0053,P1A9,USER042,10-06-2023,19:00,21:00,120,Motor,P1,Sabtu,10-06-2023 18:00,Tidak_Hadir,6000,Cerah,Konser,0.88
RES0054,P2B9,USER043,11-06-2023,10:00,11:30,90,Mobil,P2,Minggu,11-06-2023 08:30,Selesai,7500,Berawan,Olahraga,0.78
RES0055,B1A4,USER044,12-06-2023,13:00,15:00,120,Motor,B1,Senin,06-06-2023 15:00,Dibatalkan_Pengguna,6000,Cerah,Tidak_Ada,0.45
RES0056,P3C1,USER045,13-06-2023,09:30,17:00,450,Mobil,P3,Selasa,12-06-2023 19:00,Selesai,37500,Hujan Ringan,Tidak_Ada,0.36
RES0057,P1D6,USER031,14-06-2023,16:00,20:00,240,Mobil,P1,Rabu,14-06-2023 11:00,Selesai,20000,Hujan Lebat,Tidak_Ada,0.68
RES0058,P2A3,USER032,15-06-2023,11:00,14:00,180,Motor,P2,Kamis,08-06-2023 09:00,Selesai,9000,Cerah,Tidak_Ada,0.52
RES0059,B1B7,USER033,16-06-2023,13:00,14:30,90,Mobil,B1,Jumat,16-06-2023 10:00,Dikonfirmasi_Belum_Digunakan,7500,Berawan,Tidak_Ada,0.63
RES0060,P3B9,USER034,17-06-2023,07:00,10:00,180,Mobil,P3,Sabtu,10-06-2023 14:00,Selesai,15000,Cerah,Tidak_Ada,0.7
RES0061,A18,USER046,01-07-2023,08:00,09:30,90,Mobil,P1,Sabtu,30-06-2023 11:30,Selesai,7500,Cerah,Tidak_Ada,0.6
RES0062,B01,USER047,01-07-2023,09:00,12:00,180,Motor,P2,Sabtu,01-07-2023 07:00,Selesai,9000,Cerah,Pameran,0.68
RES0063,C20,USER048,02-07-2023,14:00,18:30,270,Mobil,B1,Minggu,01-07-2023 18:00,Dikonfirmasi_Belum_Digunakan,22500,Berawan,Olahraga,0.75
RES0064,A08,USER049,03-07-2023,17:00,17:30,30,Motor,P1,Senin,03-07-2023 16:00,Selesai,1000,Hujan Ringan,Tidak_Ada,0.55
RES0065,D02,USER050,03-07-2023,10:00,16:00,360,Mobil,P3,Senin,26-06-2023 10:00,Selesai,30000,Cerah,Tidak_Ada,0.35
RES0066,B18,USER046,04-07-2023,19:00,23:00,240,Mobil,P2,Selasa,04-07-2023 16:30,Dibatalkan_Pengguna,20000,Berawan,Tidak_Ada,0.6
RES0067,A11,USER001,05-07-2023,11:00,13:00,120,Motor,P1,Rabu,05-07-2023 09:30,Selesai,6000,Cerah,Tidak_Ada,0.48
RES0068,C03,USER002,06-07-2023,07:30,17:30,600,Mobil,B1,Kamis,29-06-2023 09:30,Selesai,50000,Cerah,Tidak_Ada,0.3
RES0069,P2D5,USER003,07-07-2023,09:30,11:30,120,Mobil,P2,Jumat,06-07-2023 14:00,Selesai,10000,Cerah,Tidak_Ada,0.58
RES0070,P1C2,USER004,08-07-2023,10:30,12:00,90,Motor,P1,Sabtu,08-07-2023 09:00,Selesai,4500,Cerah,Konser,0.72
RES0071,B1D3,USER005,09-07-2023,14:30,17:30,180,Mobil,B1,Minggu,03-07-2023 11:00,Dikonfirmasi_Belum_Digunakan,15000,Berawan,Pameran,0.8
RES0072,P3A2,USER006,10-07-2023,08:30,16:30,480,Mobil,P3,Senin,09-07-2023 18:30,Selesai,40000,Hujan Ringan,Tidak_Ada,0.33
RES0073,P1A7,USER007,10-07-2023,18:30,20:30,120,Motor,P1,Senin,10-07-2023 17:30,Tidak_Hadir,6000,Hujan Ringan,Tidak_Ada,0.5
RES0074,P2C8,USER008,11-07-2023,10:00,11:00,60,Mobil,P2,Selasa,11-07-2023 08:30,Selesai,5000,Cerah,Tidak_Ada,0.42
RES0075,B1A6,USER009,12-07-2023,13:00,15:30,150,Motor,B1,Rabu,08-07-2023 16:30,Dibatalkan_Pengguna,7500,Berawan,Tidak_Ada,0.45
RES0076,P3C8,USER010,13-07-2023,09:00,17:00,480,Mobil,P3,Kamis,12-07-2023 20:30,Selesai,40000,Cerah,Tidak_Ada,0.38
RES0077,P1D5,USER011,14-07-2023,16:30,19:30,180,Mobil,P1,Jumat,14-07-2023 12:30,Selesai,15000,Hujan Lebat,Tidak_Ada,0.72
RES0078,P2A2,USER012,15-07-2023,11:30,15:30,240,Motor,P2,Sabtu,09-07-2023 10:30,Selesai,12000,Cerah,Tidak_Ada,0.65
RES0079,B1B8,USER013,16-07-2023,13:30,14:30,60,Mobil,B1,Minggu,16-07-2023 11:00,Dikonfirmasi_Belum_Digunakan,5000,Berawan,Olahraga,0.7
RES0080,P3B1,USER014,17-07-2023,07:00,09:00,120,Mobil,P3,Senin,10-07-2023 15:30,Selesai,10000,Cerah,Tidak_Ada,0.28
RES0081,A20,USER015,01-08-2023,08:45,11:15,150,Mobil,P1,Selasa,31-07-2023 09:00,Selesai,12500,Cerah,Tidak_Ada,0.4
RES0082,B02,USER016,01-08-2023,10:15,13:45,210,Motor,P2,Selasa,01-08-2023 08:00,Selesai,10500,Cerah,Tidak_Ada,0.45
RES0083,C10,USER017,02-08-2023,15:30,19:00,210,Mobil,B1,Rabu,01-08-2023 17:00,Dikonfirmasi_Belum_Digunakan,17500,Berawan,Tidak_Ada,0.55
RES0084,A06,USER018,03-08-2023,17:15,17:45,30,Motor,P1,Kamis,03-08-2023 16:30,Selesai,1000,Hujan Ringan,Tidak_Ada,0.65
RES0085,D12,USER019,04-08-2023,11:30,17:30,360,Mobil,P3,Jumat,28-07-2023 13:00,Selesai,30000,Cerah,Tidak_Ada,0.6
RES0086,B13,USER020,05-08-2023,20:30,23:59,209,Mobil,P2,Sabtu,05-08-2023 19:00,Dibatalkan_Pengguna,17000,Berawan,Konser,0.92
RES0087,A09,USER021,06-08-2023,12:30,14:30,120,Motor,P1,Minggu,06-08-2023 11:00,Selesai,6000,Cerah,Pameran,0.78
RES0088,C02,USER022,07-08-2023,08:15,18:15,600,Mobil,B1,Senin,31-07-2023 11:00,Selesai,50000,Cerah,Tidak_Ada,0.32
RES0089,P2C6,USER023,08-08-2023,09:45,11:45,120,Mobil,P2,Selasa,07-08-2023 16:00,Selesai,10000,Cerah,Tidak_Ada,0.41
RES0090,P1D3,USER024,08-08-2023,11:15,12:45,90,Motor,P1,Selasa,08-08-2023 10:30,Selesai,4500,Cerah,Tidak_Ada,0.47
RES0091,B1E4,USER025,09-08-2023,14:45,17:45,180,Mobil,B1,Rabu,03-08-2023 12:00,Dikonfirmasi_Belum_Digunakan,15000,Berawan,Tidak_Ada,0.53
RES0092,P3A3,USER026,10-08-2023,08:45,16:45,480,Mobil,P3,Kamis,09-08-2023 20:00,Selesai,40000,Hujan Ringan,Tidak_Ada,0.36
RES0093,P1B9,USER027,10-08-2023,18:45,20:45,120,Motor,P1,Kamis,10-08-2023 18:15,Tidak_Hadir,6000,Hujan Ringan,Tidak_Ada,0.58
RES0094,P2C9,USER028,11-08-2023,10:45,11:45,60,Mobil,P2,Jumat,11-08-2023 10:00,Selesai,5000,Cerah,Tidak_Ada,0.5
RES0095,B1A5,USER029,12-08-2023,13:45,16:15,150,Motor,B1,Sabtu,08-08-2023 18:00,Dibatalkan_Pengguna,7500,Berawan,Tidak_Ada,0.62
RES0096,P3D8,USER030,13-08-2023,09:15,17:15,480,Mobil,P3,Minggu,12-08-2023 22:00,Selesai,40000,Cerah,Olahraga,0.75
RES0097,P1C6,USER031,14-08-2023,16:45,19:45,180,Mobil,P1,Senin,14-08-2023 14:00,Selesai,15000,Hujan Lebat,Tidak_Ada,0.6
RES0098,P2B2,USER032,15-08-2023,11:45,15:45,240,Motor,P2,Selasa,09-08-2023 12:00,Selesai,12000,Cerah,Tidak_Ada,0.46
RES0099,B1B9,USER033,15-08-2023,13:45,14:45,60,Mobil,B1,Selasa,15-08-2023 13:00,Dikonfirmasi_Belum_Digunakan,5000,Berawan,Tidak_Ada,0.52
RES0100,P3A9,USER034,16-08-2023,07:45,09:45,120,Mobil,P3,Rabu,09-08-2023 17:00,Selesai,10000,Cerah,Tidak_Ada,0.34
RES0101,A13,USER035,01-09-2023,08:00,10:30,150,Mobil,P1,Jumat,31-08-2023 09:30,Selesai,12500,Cerah,Tidak_Ada,0.55
RES0102,B16,USER036,01-09-2023,09:30,11:00,90,Motor,P2,Jumat,01-09-2023 08:00,Selesai,4500,Cerah,Tidak_Ada,0.6
RES0103,C07,USER037,02-09-2023,13:30,17:30,240,Mobil,B1,Sabtu,01-09-2023 16:00,Dikonfirmasi_Belum_Digunakan,20000,Berawan,Konser,0.82
RES0104,A14,USER038,03-09-2023,16:30,17:00,30,Motor,P1,Minggu,03-09-2023 16:00,Selesai,1000,Hujan Ringan,Pameran,0.76
RES0105,D23,USER039,04-09-2023,10:30,15:30,300,Mobil,P3,Senin,28-08-2023 10:00,Selesai,25000,Cerah,Tidak_Ada,0.37
RES0106,B06,USER040,04-09-2023,18:30,22:30,240,Mobil,P2,Senin,04-09-2023 15:00,Dibatalkan_Pengguna,20000,Berawan,Tidak_Ada,0.5
RES0107,A16,USER041,05-09-2023,11:30,14:00,150,Motor,P1,Selasa,05-09-2023 10:00,Selesai,7500,Cerah,Tidak_Ada,0.43
RES0108,C16,USER042,06-09-2023,07:30,17:00,570,Mobil,B1,Rabu,30-08-2023 09:00,Selesai,47500,Cerah,Tidak_Ada,0.31
RES0109,P2D6,USER043,07-09-2023,09:00,11:00,120,Mobil,P2,Kamis,06-09-2023 14:00,Selesai,10000,Berawan,Tidak_Ada,0.49
RES0110,P1C1,USER044,08-09-2023,10:00,12:30,150,Motor,P1,Jumat,08-09-2023 08:30,Selesai,7500,Berawan,Tidak_Ada,0.54
RES0111,B1D4,USER045,09-09-2023,14:00,17:00,180,Mobil,B1,Sabtu,03-09-2023 10:00,Dikonfirmasi_Belum_Digunakan,15000,Hujan Ringan,Tidak_Ada,0.68
RES0112,P3A4,USER046,10-09-2023,08:00,16:00,480,Mobil,P3,Minggu,09-09-2023 18:00,Selesai,40000,Cerah,Olahraga,0.73
RES0113,P1A5,USER047,11-09-2023,19:30,21:30,120,Motor,P1,Senin,11-09-2023 18:30,Tidak_Hadir,6000,Cerah,Tidak_Ada,0.52
RES0114,P2B8,USER048,12-09-2023,10:30,11:00,30,Mobil,P2,Selasa,12-09-2023 09:00,Selesai,2500,Cerah,Tidak_Ada,0.4
RES0115,B1A7,USER049,13-09-2023,13:30,15:30,120,Motor,B1,Rabu,07-09-2023 16:00,Dibatalkan_Pengguna,6000,Cerah,Tidak_Ada,0.44
RES0116,P3C2,USER050,14-09-2023,09:30,17:30,480,Mobil,P3,Kamis,13-09-2023 20:00,Selesai,40000,Hujan Ringan,Tidak_Ada,0.35
RES0117,P1D7,USER001,15-09-2023,16:00,19:00,180,Mobil,P1,Jumat,15-09-2023 12:00,Selesai,15000,Hujan Lebat,Tidak_Ada,0.7
RES0118,P2A4,USER002,16-09-2023,11:00,15:00,240,Motor,P2,Sabtu,10-09-2023 11:00,Selesai,12000,Cerah,Pameran,0.8
RES0119,B1C1,USER003,17-09-2023,13:00,14:00,60,Mobil,B1,Minggu,17-09-2023 11:30,Dikonfirmasi_Belum_Digunakan,5000,Berawan,Tidak_Ada,0.67
RES0120,P3B2,USER004,18-09-2023,07:00,10:00,180,Mobil,P3,Senin,11-09-2023 15:00,Selesai,15000,Cerah,Tidak_Ada,0.29
RES0121,A01,USER020,02-10-2023,08:15,10:45,150,Mobil,P1,Senin,01-10-2023 10:00,Selesai,12500,Cerah,Tidak_Ada,0.42
RES0122,B19,USER021,02-10-2023,09:45,11:15,90,Motor,P2,Senin,02-10-2023 08:30,Selesai,4500,Cerah,Tidak_Ada,0.48
RES0123,C06,USER022,03-10-2023,14:15,18:15,240,Mobil,B1,Selasa,02-10-2023 17:00,Dikonfirmasi_Belum_Digunakan,20000,Berawan,Tidak_Ada,0.57
RES0124,A17,USER023,04-10-2023,16:45,17:15,30,Motor,P1,Rabu,04-10-2023 16:15,Selesai,1000,Hujan Ringan,Tidak_Ada,0.68
RES0125,D24,USER024,05-10-2023,10:45,15:45,300,Mobil,P3,Kamis,28-09-2023 11:00,Selesai,25000,Cerah,Tidak_Ada,0.52
RES0126,B08,USER025,06-10-2023,19:15,23:15,240,Mobil,P2,Jumat,06-10-2023 16:00,Dibatalkan_Pengguna,20000,Berawan,Konser,0.88
RES0127,A19,USER026,07-10-2023,11:45,14:15,150,Motor,P1,Sabtu,07-10-2023 10:30,Selesai,7500,Cerah,Pameran,0.77
RES0128,C18,USER027,08-10-2023,07:45,17:15,570,Mobil,B1,Minggu,01-10-2023 10:00,Selesai,47500,Cerah,Olahraga,0.71
RES0129,P2D7,USER028,09-10-2023,09:15,11:15,120,Mobil,P2,Senin,08-10-2023 15:00,Selesai,10000,Berawan,Tidak_Ada,0.39
RES0130,P1C3,USER029,09-10-2023,10:45,13:15,150,Motor,P1,Senin,09-10-2023 09:00,Selesai,7500,Berawan,Tidak_Ada,0.44
RES0131,B1D5,USER030,10-10-2023,14:15,17:15,180,Mobil,B1,Selasa,04-10-2023 11:00,Dikonfirmasi_Belum_Digunakan,15000,Hujan Ringan,Tidak_Ada,0.54
RES0132,P3A5,USER031,11-10-2023,08:15,16:15,480,Mobil,P3,Rabu,10-10-2023 19:00,Selesai,40000,Cerah,Tidak_Ada,0.33
RES0133,P1A6,USER032,11-10-2023,19:45,21:45,120,Motor,P1,Rabu,11-10-2023 19:00,Tidak_Hadir,6000,Cerah,Tidak_Ada,0.56
RES0134,P2B7,USER033,12-10-2023,10:15,10:45,30,Mobil,P2,Kamis,12-10-2023 09:30,Selesai,2500,Cerah,Tidak_Ada,0.41
RES0135,B1A8,USER034,13-10-2023,13:15,15:15,120,Motor,B1,Jumat,07-10-2023 17:00,Dibatalkan_Pengguna,6000,Cerah,Tidak_Ada,0.47
RES0136,P3C3,USER035,14-10-2023,09:45,17:45,480,Mobil,P3,Sabtu,13-10-2023 21:00,Selesai,40000,Hujan Ringan,Tidak_Ada,0.74
RES0137,P1D8,USER036,15-10-2023,16:15,19:15,180,Mobil,P1,Minggu,15-10-2023 13:00,Selesai,15000,Hujan Lebat,Konser,0.86
RES0138,P2A5,USER037,16-10-2023,11:15,15:15,240,Motor,P2,Senin,10-10-2023 12:00,Selesai,12000,Cerah,Tidak_Ada,0.38
RES0139,B1C2,USER038,16-10-2023,13:15,14:15,60,Mobil,B1,Senin,16-10-2023 12:30,Dikonfirmasi_Belum_Digunakan,5000,Berawan,Tidak_Ada,0.43
RES0140,P3B3,USER039,17-10-2023,07:15,10:15,180,Mobil,P3,Selasa,10-10-2023 16:00,Selesai,15000,Cerah,Tidak_Ada,0.3
RES0141,A02,USER040,01-11-2023,08:30,11:00,150,Mobil,P1,Rabu,31-10-2023 10:30,Selesai,12500,Cerah,Tidak_Ada,0.44
RES0142,B20,USER041,01-11-2023,09:00,10:30,90,Motor,P2,Rabu,01-11-2023 07:30,Selesai,4500,Cerah,Tidak_Ada,0.5
RES0143,C09,USER042,02-11-2023,13:00,17:00,240,Mobil,B1,Kamis,01-11-2023 15:30,Dikonfirmasi_Belum_Digunakan,20000,Berawan,Tidak_Ada,0.59
RES0144,A21,USER043,03-11-2023,17:00,17:30,30,Motor,P1,Jumat,03-11-2023 16:30,Selesai,1000,Hujan Ringan,Tidak_Ada,0.72
RES0145,D01,USER044,04-11-2023,10:00,16:00,360,Mobil,P3,Sabtu,28-10-2023 11:30,Selesai,30000,Cerah,Pameran,0.84
RES0146,B09,USER045,04-11-2023,18:00,22:00,240,Mobil,P2,Sabtu,04-11-2023 14:30,Dibatalkan_Pengguna,20000,Berawan,Pameran,0.89
RES0147,A22,USER046,05-11-2023,11:00,13:30,150,Motor,P1,Minggu,05-11-2023 09:30,Selesai,7500,Cerah,Olahraga,0.79
RES0148,C19,USER047,06-11-2023,07:00,17:00,600,Mobil,B1,Senin,30-10-2023 08:30,Selesai,50000,Cerah,Tidak_Ada,0.31
RES0149,P2D8,USER048,07-11-2023,09:30,11:30,120,Mobil,P2,Selasa,06-11-2023 13:30,Selesai,10000,Berawan,Tidak_Ada,0.4
RES0150,P1C4,USER049,08-11-2023,10:30,13:00,150,Motor,P1,Rabu,08-11-2023 09:00,Selesai,7500,Berawan,Tidak_Ada,0.46
RES0151,B1D6,USER050,09-11-2023,14:30,17:30,180,Mobil,B1,Kamis,03-11-2023 10:30,Dikonfirmasi_Belum_Digunakan,15000,Hujan Ringan,Tidak_Ada,0.56
RES0152,P3A6,USER001,10-11-2023,08:30,16:30,480,Mobil,P3,Jumat,09-11-2023 17:30,Selesai,40000,Cerah,Tidak_Ada,0.53
RES0153,P1A4,USER002,11-11-2023,19:00,21:00,120,Motor,P1,Sabtu,11-11-2023 17:30,Tidak_Hadir,6000,Cerah,Konser,0.91
RES0154,P2B6,USER003,12-11-2023,10:00,11:30,90,Mobil,P2,Minggu,12-11-2023 08:00,Selesai,7500,Berawan,Tidak_Ada,0.7
RES0155,B1A9,USER004,13-11-2023,13:00,15:00,120,Motor,B1,Senin,07-11-2023 15:30,Dibatalkan_Pengguna,6000,Cerah,Tidak_Ada,0.37
RES0156,P3C4,USER005,14-11-2023,09:00,17:00,480,Mobil,P3,Selasa,13-11-2023 19:30,Selesai,40000,Hujan Ringan,Tidak_Ada,0.34
RES0157,P1D9,USER006,15-11-2023,16:30,20:30,240,Mobil,P1,Rabu,15-11-2023 11:30,Selesai,20000,Hujan Lebat,Tidak_Ada,0.67
RES0158,P2A7,USER007,16-11-2023,11:30,14:30,180,Motor,P2,Kamis,09-11-2023 09:30,Selesai,9000,Cerah,Tidak_Ada,0.48
RES0159,B1C3,USER008,17-11-2023,13:30,14:00,30,Mobil,B1,Jumat,17-11-2023 10:30,Dikonfirmasi_Belum_Digunakan,2500,Berawan,Tidak_Ada,0.61
RES0160,P3B4,USER009,18-11-2023,07:30,10:30,180,Mobil,P3,Sabtu,11-11-2023 14:30,Selesai,15000,Cerah,Tidak_Ada,0.76
RES0161,A03,USER010,01-12-2023,08:00,09:00,60,Mobil,P1,Jumat,30-11-2023 11:00,Selesai,5000,Cerah,Tidak_Ada,0.58
RES0162,B21,USER011,01-12-2023,09:30,12:30,180,Motor,P2,Jumat,01-12-2023 07:00,Selesai,9000,Cerah,Tidak_Ada,0.63
RES0163,C11,USER012,02-12-2023,14:00,18:30,270,Mobil,B1,Sabtu,01-12-2023 17:30,Dikonfirmasi_Belum_Digunakan,22500,Berawan,Konser,0.87
RES0164,A23,USER013,03-12-2023,16:00,16:30,30,Motor,P1,Minggu,03-12-2023 15:00,Selesai,1000,Hujan Ringan,Pameran,0.81
